URL	FMT	全国書誌番号	ISBN	ISSN	タイトル・著者	版表示	シリーズ	出版事項	大きさ等
http://id.ndl.go.jp/bib/000009402609	BK	22994544	978-4-7664-1540-7		The structure of oriental philosophy : collected papers of the Eranos Conference. volume 1 / Toshihiko Izutsu 著.		The Izutsu library series on oriental philosophy / editor Hideichi Matsubara, Ryosuke Ohashi, Yoshitsugu Sawai, Shigeru Kamada ; 4	Tokyo : Keio University Press, 2008.6.	289p ; 23cm.
http://id.ndl.go.jp/bib/000009402612	BK	22994545	978-4-7664-1541-4		The structure of oriental philosophy : collected papers of the Eranos Conference. volume 2 / Toshihiko Izutsu 著.		The Izutsu library series on oriental philosophy / editor Hideichi Matsubara, Ryosuke Ohashi, Yoshitsugu Sawai, Shigeru Kamada ; 4	Tokyo : Keio University Press, 2008.6.	233p. ; 23cm.
http://id.ndl.go.jp/bib/000009746342	BK	22994547	978-4-276-35566-8		タンホイザー / ワーグナー [作] ; 高辻知義 訳.		オペラ対訳ライブラリー	東京 : 音楽之友社, 2008.1 (第3刷).	117p ; 19cm.
http://id.ndl.go.jp/bib/000010917361	BK	22994546	978-4-326-54784-5		環境と資源の経済学 / 時政勗, 薮田雅弘, 今泉博国, 有吉範敏 編.		The core of modern economics	東京 : 勁草書房, 2008.7 (第3刷).	386p ; 21cm.
http://id.ndl.go.jp/bib/022921179	BK	22996502	978-4-88950-421-7		落石対策便覧 / 日本道路協会 編.	改訂版.		東京 : 日本道路協会 ; 東京 : 丸善出版 (発売), 2017.12.	413p ; 22cm.
http://id.ndl.go.jp/bib/023182048	MU	22997541			SICK TEAM [録音資料] / SICK TEAM.			[東京] : P-VINE, 2011.6.	録音ディスク 1枚 : CD.
http://id.ndl.go.jp/bib/023182062	MU	22995198			バーン! [録音資料] = Burn! / エディー・ロバーツ&ザ・ファイア・イーターズ.			[東京] : P-VINE, 2011.6.	録音ディスク 1枚 : CD.
http://id.ndl.go.jp/bib/023191362	MU	22993975			アイ・ウォント・ザット・ユー・アー・オールウェイズ・ハッピー [録音資料] = I want that you are always happy / ザ・ミドル・イースト.			Tokyo : P-Vine, 2011.6.	録音ディスク 1枚 : CD.
http://id.ndl.go.jp/bib/023195822	MU	22995965			ユニヴァーサル・パルス [録音資料] = Universal pulse / 311.			Tokyo : P-VINE, 2011.8.	録音ディスク 1枚 (37分) : CD.
http://id.ndl.go.jp/bib/023195839	MU	22995973			ラヴ・セックス・アンド・ザ・ゾディアック [録音資料] = Cannonball Adderley presents love, sex, and the zodiac / キャノンボール・アダレイ.			Tokyo : Pヴァイン, [2011.8]	録音ディスク 1枚 (39分) : CD.
http://id.ndl.go.jp/bib/023197680	MU	22995975			リッスン・トゥ・マイ・ソング-ザ・ミュージック・シティ・セッションズ [録音資料] = Listen to my song-the Music City sessions / ダロンド.			Tokyo : Pヴァイン, [2011.9]	録音ディスク 1枚 (62分) : CD.
http://id.ndl.go.jp/bib/023197681	MU	22996216			ディスコ・ゴールド [録音資料] = Disco gold : セプター・レコーズ、トム・モールトン・アンド・ザ・バース・オブ・ディスコ : a Tom Moulton mix.			Tokyo : Pヴァイン, [2011.9]	録音ディスク 1枚 (64分) : CD.
http://id.ndl.go.jp/bib/023199373	MU	22996222			がんばれよ [録音資料] / ゴトウゆうぞう.			[東京] : P-VINE, 2011.6.	録音ディスク 1枚 (44分) : CD.
http://id.ndl.go.jp/bib/023199377	MU	22995421			スプラッシュ [録音資料] = Splazsh / アクトレス.			Tokyo : Pヴァイン, [2011.6]	録音ディスク 1枚 (62分) : CD.
http://id.ndl.go.jp/bib/023199955	MU	22995194			フォスフィーン・ドリーム [録音資料] = Phosphene dream : 来日記念盤 / ザ・ブラック・エンジェルズ.			Tokyo : P-Vine, 2011.7.	録音ディスク 1枚 : CD.
http://id.ndl.go.jp/bib/023200336	MU	22995195			サンセット・モンキーズ [録音資料] = Sunset monkeys / アダム・ダニング.			Tokyo : P-Vine, 2011.7.	録音ディスク 1枚 (71分) : CD.
http://id.ndl.go.jp/bib/023217829	VM	22991701			刑事ジョーママにお手あげ [映像資料] = Stop! or my mom will shoot / ブレイク・スナイダー, ウィリアム・オズボーン, ウィリアム・デイビス 脚本 ; ロジャー・スポティスウッド 監督 ; シルベスター・スタローン [ほか出演].			[東京] : ジェネオン・ユニバーサル・エンターテイメント, 2011.8.	ビデオディスク 1枚 (83分) : DVD.
http://id.ndl.go.jp/bib/023235973	VM	22990472			スコット・ピルグリムvs. 邪悪な元カレ軍団 [映像資料] = Scott Pilgrim vs. the world : the ultimate Japan version / ブライアン・リー・オマリー 原作コミック・シリーズ ; マイケル・バコール, エドガー・ライト 脚本 ; エドガー・ライト 監督.			[東京] : ジェネオン・ユニバーサル・エンターテイメント, 2011.9.	ビデオディスク 2枚 (112分) : Blu-ray Disc, DVD.
http://id.ndl.go.jp/bib/023238345	VM	22990354			サンクタム [映像資料] = Sanctum : 3D / アンドリュー・ワイト, ジョン・ガーヴィン 脚本 ; アリスター・グリアソン 監督 ; リチャード・ロクスバーグ [ほか出演].			[東京] : ジェネオン・ユニバーサル・エンターテイメント, 2012.1.	ビデオディスク 2枚 (109分) : Blu-ray Disc.
